condition,county,cylinders,fuel,drive,Suma de id,manufacturer,model,Suma de odometer,Suma de price,size,title_status,transmission,type,VIN,Suma de year
excellent,United states,4 cylinders,diesel,fwd,21925555018,volkswagen,passat,249000,32700,full-size,clean,automatic,sedan,1VWBN7A33DC079466,6039
excellent,United states,4 cylinders,diesel,fwd,7304879531,volkswagen,passat,74400,12900,mid-size,clean,automatic,sedan,1NXBU40E79Z035670,2015
excellent,United states,4 cylinders,diesel,fwd,7314768090,volkswagen,passat,59114,11500,mid-size,clean,automatic,sedan,1VWBN7A30DC145973,2013
excellent,United states,4 cylinders,diesel,fwd,7306281231,volkswagen,passat,47210,12947,mid-size,clean,automatic,sedan,1VWBN7A31DC028810,2013
excellent,United states,4 cylinders,diesel,fwd,14626983703,volkswagen,passat,100000,23800,mid-size,clean,automatic,sedan,1VWBN7A36DC114243,4026
excellent,United states,4 cylinders,diesel,fwd,14627281695,volkswagen,passat,250980,18900,mid-size,clean,automatic,sedan,1VWBV7A30FC038568,4030
excellent,United states,4 cylinders,diesel,fwd,7313478643,volkswagen,passat,70000,10950,mid-size,clean,automatic,sedan,1VWBV7A33FC095413,2015
excellent,United states,4 cylinders,diesel,fwd,7304883272,volkswagen,passat,74400,12900,mid-size,clean,automatic,sedan,1VWBV7A34FC057365,2015
excellent,United states,4 cylinders,diesel,fwd,7316174565,volkswagen,passat,71395,16995,mid-size,clean,automatic,sedan,1VWCN7A30EC075414,2014
excellent,United states,4 cylinders,diesel,fwd,7312010306,volkswagen,passat sel tdi,95000,10500,mid-size,clean,automatic,sedan,1VWCN7A31EC069198,2014
excellent,United states,4 cylinders,diesel,fwd,14632933824,volkswagen,passat tdi,196864,13400,full-size,clean,automatic,sedan,1VWCN7A34DC112026,4026
excellent,United states,4 cylinders,diesel,fwd,14614606026,volkswagen,passat tdi sel,195626,17000,full-size,clean,automatic,sedan,1VWCN7A33CC051010,4024
excellent,United states,4 cylinders,diesel,fwd,7315287756,volkswagen,passat tdi sel,67000,12995,mid-size,clean,automatic,sedan,1VWCN7A34CC107407,2012
excellent,United states,4 cylinders,diesel,rwd,7317095614,chevrolet,w5500,203466,16995,full-size,clean,automatic,truck,J8BE5W16387302065,2008
excellent,United states,4 cylinders,diesel,rwd,7313339133,chevrolet,w5500 isuzu dump,66801,18900,full-size,clean,automatic,truck,J8BE5B16457300863,2005
excellent,United states,4 cylinders,diesel,rwd,7313336395,chevrolet,w5500 isuzu npr dump,66801,18900,full-size,clean,automatic,truck,J8BE5B16457300863,2005
excellent,United states,4 cylinders,diesel,rwd,14606089612,gmc,savana 12 passenger,37152,74688,full-size,clean,automatic,van,1GJZ7LF14L1153623,4040
excellent,United states,4 cylinders,diesel,rwd,7306864559,gmc,savana 3500 12 pass,19224,38344,full-size,clean,automatic,van,1GJZ7LF14L1153623,2020
excellent,United states,4 cylinders,diesel,rwd,7306455674,jeep,renegade limited,38913,19977,mid-size,clean,automatic,SUV,ZACCJADB5HPF09583,2017
excellent,United states,4 cylinders,diesel,rwd,7303766533,mercedes-benz,240d,115965,9000,full-size,clean,manual,sedan,11511710060589,1975
excellent,United states,4 cylinders,diesel,rwd,7316788136,mitsubishi,fuso,217000,11995,full-size,clean,automatic,truck,JL6AMG1A1EK004862,2014
excellent,United states,4 cylinders,diesel,rwd,14630520242,mitsubishi,fuso,247334,39800,mid-size,clean,automatic,truck,JL6BNG1A1CK003743,4024
excellent,United states,4 cylinders,diesel,rwd,7307683795,toyota,corolla,202305,3990,mid-size,clean,automatic,sedan,1NXBR32E15Z388845,2005
excellent,United states,4 cylinders,electric,4wd,7314381208,tesla,model x,29856,84999,full-size,clean,automatic,SUV,5YJXCAE24JF103334,2018
excellent,United states,4 cylinders,electric,4wd,36533842049,toyota,electric rav4 prime xse awd,62500,249975,compact,clean,automatic,SUV,JTMFB3FV2MD007006,10105
excellent,United states,4 cylinders,electric,4wd,7315149927,volkswagen,egolf,49546,11999,compact,clean,automatic,hatchback,WVWKP7AU7GW912923,2016
excellent,United states,4 cylinders,electric,fwd,14616898132,chevrolet,volt,222940,15600,compact,clean,automatic,sedan,1G1RD6E41BU099331,4022
excellent,United states,4 cylinders,electric,fwd,7301943825,ford,focus electric hatchback 4d,55755,7499,compact,clean,automatic,hatchback,1FADP3R45EL382798,2014
excellent,United states,4 cylinders,electric,fwd,21926716736,honda,clarity plug-in hybrid,61173,64485,mid-size,clean,automatic,sedan,JHMZC5F34JC010669,6054
excellent,United states,4 cylinders,electric,fwd,7316410795,toyota,rav4,33402,14999,full-size,clean,automatic,SUV,2T3YL4DV3CW001182,2012
excellent,United states,4 cylinders,gas,4wd,7303827979,acura,mdx sport,171000,7395,full-size,clean,automatic,SUV,2HNYD28308H539933,2008
excellent,United states,4 cylinders,gas,4wd,21939661553,acura,rdx,418095,20985,full-size,clean,automatic,SUV,5J8TB18217A012022,6021
excellent,United states,4 cylinders,gas,4wd,7308961469,acura,rdx sh-awd w/tech,165342,7900,full-size,clean,automatic,SUV,5J8TB18529A002046,2009
excellent,United states,4 cylinders,gas,4wd,21945971061,alfa-romeo,romeo stelvio,67341,89700,full-size,clean,automatic,SUV,ZASFAKAN5J7B73512,6054
excellent,United states,4 cylinders,gas,4wd,36546911625,alfa-romeo,romeo stelvio,145125,142745,mid-size,clean,automatic,SUV,ZASFAKBN9J7B64472,10090
excellent,United states,4 cylinders,gas,4wd,7316052295,audi,a3,45000,13995,compact,clean,automatic,sedan,WAUBFGFF5F1066913,2015
excellent,United states,4 cylinders,gas,4wd,7305675323,audi,a3,52447,17999,mid-size,clean,automatic,sedan,WAUBFGFF7F1141742,2015
excellent,United states,4 cylinders,gas,4wd,7316548892,audi,a3,75371,16497,mid-size,clean,automatic,sedan,WAUDFAFM4DA014691,2013
excellent,United states,4 cylinders,gas,4wd,14618322217,audi,a3,91892,37990,mid-size,clean,automatic,sedan,WAUE8GFF4G1036438,4032
excellent,United states,4 cylinders,gas,4wd,14619281189,audi,a3 2.0t,109420,43998,full-size,clean,automatic,sedan,WAUB8GFF6G1048450,4032
excellent,United states,4 cylinders,gas,4wd,7310817878,audi,a3 2.0t premium +,61910,15980,compact,clean,automatic,sedan,WAUEFGFF0F1120843,2015
excellent,United states,4 cylinders,gas,4wd,7307784467,audi,a3 2.0t premium plus,109415,13747,mid-size,clean,automatic,sedan,WAUBFGFF9F1049032,2015
excellent,United states,4 cylinders,gas,4wd,21932224580,audi,a3 2.0t premium plus,238221,53985,mid-size,clean,automatic,sedan,WAUJ8GFF6G1048993,6048
excellent,United states,4 cylinders,gas,4wd,7312298874,audi,a3 premium,42000,19950,mid-size,clean,automatic,sedan,WAUE8GFF6G1054388,2016
excellent,United states,4 cylinders,gas,4wd,7306238066,audi,a3 sedan,20134,26990,sub-compact,clean,automatic,sedan,WAUJ8GFF2J1037271,2018
excellent,United states,4 cylinders,gas,4wd,14615099737,audi,a4,195312,19990,compact,clean,automatic,sedan,WAUBFAFLXBN011640,4022
excellent,United states,4 cylinders,gas,4wd,14615417551,audi,a4,212000,11000,compact,clean,automatic,sedan,WAUDF78E66A019483,4012
excellent,United states,4 cylinders,gas,4wd,7315456349,audi,a4,130619,5250,compact,clean,automatic,sedan,WAUDF78EX8A114521,2008
excellent,United states,4 cylinders,gas,4wd,14607301361,audi,a4,204556,22800,compact,clean,automatic,sedan,WAUFFAFL3CN011904,4024
excellent,United states,4 cylinders,gas,4wd,14631035177,audi,a4,194602,31990,compact,clean,automatic,sedan,WAUFFAFL9DN027784,4026
excellent,United states,4 cylinders,gas,4wd,7311045994,audi,a4,92899,14895,compact,clean,automatic,sedan,WAUKFAFL6CN018487,2012
excellent,United states,4 cylinders,gas,4wd,7302657776,audi,a4,131153,7800,compact,clean,automatic,sedan,WAULF78KX9N047205,2009
